Username,Location,Text,ExpectedSentiment,Rating,Score
@linda85458,"Port Deborahhaven, Cayman Islands",This is the best experience I've had in a while 🙌💯 #trending #viral,Joy,4.1,0.941
@jenniferbrooks809_,"Port Ashleymouth, Paraguay",Super happy with the results! Thanks @company 💕,Joy,4.4,0.546
@rwatson90,"North Christineville, Comoros","Neither good nor bad, just meh 🤷",Neutral,2.7,-0.177
@tamara71928.,"Lake Tammy, Haiti",Can't believe how good this is! Made my day 😊 #joy White big TV office visit. #trending #viral,Joy,4.2,0.558
@garyperez145.,"Melissahaven, Sweden",Totally grossed out 🤮 This is horrible!,Disgust,2.6,-0.84
@dudleyeric802,"Tonimouth, Nigeria",A+ service and very user-friendly interface 💡,Positive,4.0,0.664
@josephbennett777.,"East Annaburgh, Afghanistan",This situation is really scary 😨 #anxiety #trending #viral,Fear,1.8,-0.941
@hellis605.,"New Markborough, Niue",Such a waste of money 💸😤 #angry #trending #viral,Anger,1.7,-0.503
@brandywilson545_,"Friedmanhaven, United States Virgin Islands",This is the best experience I've had in a while 🙌💯 #trending #viral,Joy,4.5,0.912
@howardadam921.,"Hollyton, Honduras",I'm furious. Why can't they fix this already? 🤬 #trending #viral,Anger,2.1,-0.659
@kevin70346.,"South Christopher, Sao Tome and Principe",Everything went smoothly from order to delivery 📦 #trending #viral,Positive,4.5,0.945
@katelyn19460.,"Luisview, Cayman Islands",The product broke after one day. What a joke 😠,Anger,2.1,-0.612
@nancy56674.,"New Sarah, Montenegro",Great value for money! Would definitely recommend 👍 Hot act home front fact table send store build until pressure leg able Congress.,Positive,4.0,0.901
@nsalazar966.,"Martinezside, Uruguay","Filthy, broken, and completely disappointing 😡",Disgust,2.9,-0.696
@kingdestiny640.,"Port Paul, Congo",I’m actually shocked this turned out great 🤯 #pleasantlysurprised,Surprise,4.8,0.726
@michelle90975.,"Starkstad, Maldives",Feeling uneasy about the changes 😬 #trending #viral,Fear,1.6,-0.594
@lindseyjonathan19,"Rosalesville, Pakistan","Hope everything turns out fine, but still nervous 😟 #trending #viral",Fear,2.4,-0.679
@ogarcia116,"Williamland, Libyan Arab Jamahiriya","Neither good nor bad, just meh 🤷",Neutral,3.5,-0.089
@mullentiffany688_,"Pattersonside, Gambia",I'm furious. Why can't they fix this already? 🤬,Anger,2.8,-0.675
@vsharp365_,"South Adam, Trinidad and Tobago",I'm furious. Why can't they fix this already? 🤬,Anger,1.4,-0.98
@carol58153_,"Port James, Martinique",This is absolutely unacceptable 😡 #fail,Anger,2.5,-0.673
@aedwards581,"Keithport, Korea","Such a letdown, I expected better 💔",Sadness,2.0,-0.579
@kevinowens471,"East Destiny, United States of America",I'm furious. Why can't they fix this already? 🤬 #trending #viral,Anger,2.1,-0.577
@joel86276_,"Ericborough, Iceland",This is the best experience I've had in a while 🙌💯 #trending #viral,Joy,4.2,0.753
@wmurphy130,"South Theresa, United States of America","It’s okay, nothing special. Just average. Right show account stuff.",Neutral,2.4,0.187
@nicholehinton661_,"Joycemouth, Saint Vincent and the Grenadines",Such a disgusting experience. Never again 😤,Disgust,1.8,-0.763
@andrewsalazar40.,"Barnesside, Cameroon",Loving the vibes here 🥰 #blessed,Joy,4.1,0.514
@xklein194_,"Alexismouth, El Salvador",Such a waste of money 💸😤 #angry,Anger,1.7,-0.605
@ebrooks292.,"Murphyton, China",Wow! That escalated quickly 😳🚀 #trending #viral,Surprise,4.6,0.916
@garciajesus994.,"East Aprilville, Korea",The worst customer service I've encountered 💀 #trending #viral,Disgust,1.0,-0.519
@james21635,"Derekport, Equatorial Guinea",I’m actually shocked this turned out great 🤯 #pleasantlysurprised #trending #viral,Surprise,4.2,0.908
@timothy10910,"Port Ashleyburgh, Reunion",So impressed with the build quality and finish ⭐⭐⭐⭐⭐ Each these stay probably dark thousand out.,Positive,4.0,0.594
@tbrown17,"Andrewhaven, Nigeria",I'm furious. Why can't they fix this already? 🤬,Anger,1.7,-0.63
@stewartelizabeth356,"Port Amy, Guatemala","Not sure how to handle this, genuinely worried 😰 Bit act growth standard college.",Fear,2.0,-0.796
@taylormckinney606,"New Christopherborough, Palestinian Territory",Such a disgusting experience. Never again 😤 #trending #viral,Disgust,1.7,-0.841
@ashlee54950.,"Sharpfort, Chile",Can't believe how disappointed I am right now 😢 Vote night cell player statement many serious bill town garden worker walk ago expert show majority. #trending #viral,Sadness,2.9,-0.94
@griffithbrandon928_,"Donaldtown, Uruguay",Can't believe how disappointed I am right now 😢 Type line stand hair debate. #trending #viral,Sadness,1.5,-0.905
@bairdsean70_,"South Brookestad, Taiwan",I’m actually shocked this turned out great 🤯 #pleasantlysurprised Player health contain mission quickly according others tree mission. #trending #viral,Surprise,4.1,0.723
@amclaughlin415.,"Ritaton, Zimbabwe","Such a letdown, I expected better 💔",Sadness,1.9,-0.625
@amberbarry172_,"Davisstad, Bosnia and Herzegovina","Okay experience, not noteworthy.",Neutral,2.9,-0.024
@umiller371.,"Lake Brittney, Greenland",I'm furious. Why can't they fix this already? 🤬 #trending #viral,Anger,1.2,-0.522
@eswanson451_,"East Darren, Anguilla",Such a disgusting experience. Never again 😤 #trending #viral,Disgust,2.0,-0.772
@sydney48369.,"New Johnhaven, Bahamas",Such a waste of money 💸😤 #angry Consumer card up significant. #trending #viral,Anger,2.9,-0.868
@jbriggs897.,"New Kimberlyberg, Azerbaijan",Such a disgusting experience. Never again 😤 #trending #viral,Disgust,1.0,-0.664
@efrederick152_,"Peterport, Chile",Heartbroken over how this unfolded 💧 #trending #viral,Sadness,1.5,-0.762
@alyssa61575_,"North Catherine, Algeria","Neither good nor bad, just meh 🤷",Neutral,2.2,0.052
@ogarner229.,"South Thomas, Vietnam",Such a waste of money 💸😤 #angry Full draw both suggest set way yard project resource leg go attorney performance force think manager. #trending #viral,Anger,2.4,-0.692
@lmorse101_,"North Jocelyn, Austria",Wow! That escalated quickly 😳🚀 #trending #viral,Surprise,4.1,0.529
@ryancoleman955,"New Sherylfort, Italy",Feeling really down after that experience 😞 Happy newspaper stop serious we choose book good national let.,Sadness,2.0,-0.862
@tlang668,"Lake Gregg, Senegal","Filthy, broken, and completely disappointing 😡",Disgust,2.9,-0.646
@courtney00854_,"Amandastad, Honduras","Such a letdown, I expected better 💔",Sadness,2.8,-0.62
@whiteaaron996_,"West Megan, Algeria","Hope everything turns out fine, but still nervous 😟 Everything create discover father real gun better wish court rich possible teach cultural.",Fear,2.8,-0.77
@sotojeffrey858,"Lake Angela, Mayotte",Totally grossed out 🤮 This is horrible! Big bring trouble hope national.,Disgust,1.7,-0.684
@anthony69878_,"New Dianachester, Tokelau",I’m actually shocked this turned out great 🤯 #pleasantlysurprised Pick you management company research reason month only.,Surprise,4.7,0.892
@jonesadrian960.,"Josephfurt, Singapore",So impressed with the build quality and finish ⭐⭐⭐⭐⭐ #trending #viral,Positive,4.5,0.861
@sonya41224_,"Lake Kelseymouth, Australia",So impressed with the build quality and finish ⭐⭐⭐⭐⭐,Positive,4.7,0.864
@jennifermeyers547.,"North Lisa, Reunion",A+ service and very user-friendly interface 💡 Beat third list road class song especially certainly population until pretty cost.,Positive,4.2,0.96
@lisagarcia59_,"Joshuafurt, Korea",Everything went smoothly from order to delivery 📦 #trending #viral,Positive,4.6,0.517
@burnettharold994.,"South Brian, French Polynesia","Hope everything turns out fine, but still nervous 😟 Apply development challenge event continue upon glass however little. #trending #viral",Fear,2.9,-0.565
@dylansanchez657,"South Shelby, Ukraine",Loving the vibes here 🥰 #blessed #trending #viral,Joy,4.7,0.635
@brian70675,"Juliefort, Antigua and Barbuda",Honestly terrified of what might happen next 😱,Fear,1.0,-0.882
@wilsonchristopher513_,"West Rachelbury, Colombia",It's just so sad that it turned out this way 😔 Else magazine student concern none our. #trending #viral,Sadness,2.2,-0.673
@zmendoza229,"Garzastad, Faroe Islands",@company this is not acceptable 🤢 #trending #viral,Disgust,1.1,-0.728
@stonemichelle37.,"New Jason, Bulgaria","Neither good nor bad, just meh 🤷 #trending #viral",Neutral,2.3,0.199
@christopher85960,"Lake Davidport, Cayman Islands",The product broke after one day. What a joke 😠 #trending #viral,Anger,2.6,-0.764
@thomashiggins783,"Hicksmouth, Belarus",Such a waste of money 💸😤 #angry,Anger,1.7,-0.581
@rhondaalvarez861,"Walshland, Papua New Guinea","It’s okay, nothing special. Just average.",Neutral,3.0,0.119
